crop,energy,group,NAG,NBG,RAG,RS,DRY,Synonyms
abish,1000,G11_Condiments,0.008,0.009,1,0.22,0.85,fenugreek
acacia,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
achiote,0,G11_Condiments,0.008,0.009,1,0.22,0.85,
africa_eggplant,250,G9_Other_Vegetables,0.008,0.009,1,0.22,0.85,eggplant
african_locust_bean,3300,G3_Nuts_Seeds,0.008,0.009,1,0.22,0.85,locust_bean
agave,0,G13_Non_Food,0.008,0.009,1,0.22,0.85,
aguacate,1600,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,avocado
agushi,5740,G3_Nuts_Seeds,0.008,0.009,1,0.22,0.85,pumpkin seeds
aja,3500,G1_Grains_Roots_Tubers,0.007,0.008,1.3,0.25,0.89,oat
aja_oat,3500,G1_Grains_Roots_Tubers,0.007,0.008,1.3,0.25,0.89,oat
aleefu,230,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,amaranth leaves
alfalfa,0,G13_Non_Food,0.027,0.019,1,0.4,0.9,
allefu,230,G7_Leafy_Vegetables,0.008,0.009,1,0.22,0.85,amaranth leaves
almond,5790,G3_Nuts_Seeds,0.008,0.009,1,0.22,0.85,
amaranth,3710,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.22,0.88,
amaranthus,3710,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.22,0.88,amaranth
amarantus,3710,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.22,0.88,amaranth
amarath,3710,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.22,0.88,amaranth
amboshika,0,NA,0.008,0.009,1,0.22,0.85,
amla,440,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,indian gooseberry
amranthus,3710,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.22,0.88,amaranth
anchote,3500,G1_Grains_Roots_Tubers,0.006,0.009,1.3,0.22,0.88,coccinia abyssinica
andean_lupin,1470,G2_Pulses,0.008,0.008,2.1,0.19,0.91,
apple,520,G10_Other_Fruits,0.008,0.009,1,0.22,0.85,
apricot,480,G8_VitA_Fruits_Vegetables,0.008,0.009,1,0.22,0.85,
aquaculture,0,NA,0,0,0,0,0,
arecanut,3300,G3_Nuts_Seeds,0.008,0.009,1,0.22,0.85,betel nut
arnacarde,5530,G3_Nuts_Seeds,0.008,0.009,1,0.22,0.85,cashew
arrow_root,650,G1_Grains_Roots_Tubers,0.019,0.014,0.4,0.2,0.22,
arroz,3600,G1_Grains_Roots_Tubers,0.007,0.009,1.4,0.16,0.89,rice
