Animal;TLU_Conversion;Ent_Ferm;Man_CH4;NEXrate;AnimalMass;Nex;FracGas;FracLeach;EF3_PRP;AnimalMass_2006;NEXrate_2006;Vsrate;VS
alpaca;0.7;8;1.2;0.46;65;10.9135;0.12;0.02;0.003;;;7.2;170.82
bees;0;0;0;0;0;0;0.12;0.02;0.003;;;NA;
buffalo;0.7;81;1;0.41;339;50.73135;0.45;0.02;0.004;400;0.48;12.9;1596.1815
camel;0.7;46;2.56;0.46;217;36.4343;0.12;0.02;0.003;;;11.5;910.8575
cattle;0.7;66;1;0.45;270;44.3475;0.3;0.02;0.004;400;0.48;15.2;1497.96
chicken;0.01;0;0.02;1.16;0.8;0.33872;0.4;0.02;0.004;1.8;0.82;13;3.796
crocodile;0;0;0;0;0;0;0.12;0.02;0.003;;;NA;NA
dogs;0;0;0;0;0;0;0.12;0.02;0.003;;;NA;NA
donkeys_horses;0.7;18;2.19;0.46;238;39.9602;0.12;0.02;0.003;238;0.46;7.2;625.464
doves;0.01;0;0;0;0;0;0.4;0.02;0.003;;;NA;NA
ducks;0.01;0;0.02;0.83;2.7;0.817965;0.12;0.02;0.003;2.7;0.83;7.4;7.2927
fish;0;0;0;0;0;0;0.12;0.02;0.003;;;NA;NA
geese;0.02;0;0.02;0.83;2.7;0.817965;0.12;0.02;0.003;;;7.4;7.2927
goats;0.1;5;0.22;0.34;24;2.9784;0.12;0.02;0.003;30;1.37;10.4;91.104
guinea_pigs;0.01;0;0;0;0;0;0.12;0.02;0.003;;;NA;NA
llama;0.7;8;1.2;;65;0;0.12;0.02;0.003;;;7.2;170.82
other;0;0;0;0;0;0;0.12;0.02;0.003;;;NA;NA
otherpoultry;0.05;0;0.02;1.16;0.8;0.33872;0.4;0.02;0.004;;;13;3.796
oxen;0.7;48;1;0.45;208;34.164;0.45;0.02;0.004;400;0.48;12.7;964.184
pigs;0.3;1;1;0.49;37;6.61745;0.45;0.02;0.004;28;1.46;8.7;117.4935
rabbits;0.02;0;0.08;NA;NA;8.1;0.12;0.02;0.003;;;0.1;0.0365
sheep;0.1;5;0.2;0.32;31;3.6208;0.12;0.02;0.003;30;1.37;8.3;93.9145
small_mammal;0.01;0;0;0;0;0;0.12;0.02;0.003;;;NA;NA
turkey;0.02;0;0.02;0.74;6.8;1.83668;0.12;0.02;0.003;6.8;0.74;10.3;25.5646
